aeid	kind	name	confidence	vr	vr_offset	sse_1_5_97	sse_route	flags	db_name	site
11437	pointer	GetDefaultStringManager	curated-verified	0x1401150c0	0x1150c0	0x140104ad0	both		FixedStrings* FixedStrings::GetSingleton()	Code/client/Games/Skyrim/DefaultStringManager.cpp:9
11612	pointer	setWornData	auto-diff	0x14011e470	0x11e470	0x14010de90	addr-match			Code/client/Games/Skyrim/ExtraData/ExtraDataList.cpp:112
11616	pointer	setHealth	auto-diff	0x14011ea00	0x11ea00	0x14010e420	addr-match			Code/client/Games/Skyrim/ExtraData/ExtraDataList.cpp:126
11619	pointer	setChargeData	auto-diff	0x14011ede0	0x11ede0	0x14010e800	addr-match			Code/client/Games/Skyrim/ExtraData/ExtraDataList.cpp:104
11620	pointer	setSoulData	curated-verified	0x14011ef40	0x11ef40	0x14010e960	addr-match		RE::BSExtraDataList::SetSoul	Code/client/Games/Skyrim/ExtraData/ExtraDataList.cpp:97
11806	pointer	realSetLevelMod	auto-diff	0x140129a30	0x129a30	0x140119450	both			Code/client/Games/Skyrim/Actor.cpp:219
11822	pointer	setPoison	auto-diff	0x14012a640	0x12a640	0x14011a060	addr-match			Code/client/Games/Skyrim/ExtraData/ExtraDataList.cpp:119
12052	pointer	s_hasQuestObjectAlias	curated-identical	0x140136c30	0x136c30	0x140126650	both		bool ExtraDataList::HasQuestObjectAlias (BSExtraDataList * a_this)	Code/client/Games/Skyrim/ExtraData/ExtraDataList.cpp:140
12060	pointer	setEnchantmentData	curated-identical	0x1401372b0	0x1372b0	0x140126cd0	addr-match		void ExtraDataList::SetEnchantment(EnchantmentItem* a_enchantment	Code/client/Games/Skyrim/ExtraData/ExtraDataList.cpp:133
12401	pointer	realSetLock	auto-diff	0x1401454a0	0x1454a0	0x140134af0	addr-match			Code/client/Games/Misc/Lock.cpp:6
13631	pointer	s_start	curated-verified	0x140175a10	0x175a10	0x1401652d0	addr-match		void UIMessageQueue::AddMessage (UIMessageQueue * a_this	Code/client/Games/Skyrim/Interface/UI.cpp:148
13718	pointer	getCell	auto-diff	0x14017c4e0	0x17c4e0	0x14016bac0	addr-match			Code/client/Games/ModManager.cpp:68
13723	pointer	s_realSpawnNewREFR	curated-verified	0x14017cc30	0x17cc30	0x14016c210	both		ObjectRefHandle TESDataHandler::CreateReferenceAtLocation(TESBoundObject* a_base	Code/client/Games/ModManager.cpp:76
13878	pointer	skyGet	curated-verified	0x1401876a0	0x1876a0	0x140177790	both		RE::Sky::GetSingleton	Code/client/Games/Skyrim/Sky/Sky.cpp:13
13894	pointer	GetDefaultObjectManager	curated-verified	0x1401077c0	0x1077c0	0x1400f7210	id-map		BGSDefaultObjectManager* BGSDefaultObjectManager::GetSingleton()	Code/client/Games/Skyrim/DefaultObjectManager.cpp:9
14298	pointer	s_getEventDispatcherManager	curated-verified	0x1401964c0	0x1964c0	0x140186790	both		ScriptEventSourceHolder* ScriptEventSourceHolder::GetSingleton()	Code/client/Games/Skyrim/Events/EventDispacther.cpp:42
14375	pointer	s_SetLeveledNpc	auto-diff	0x14019c0c0	0x19c0c0	0x14018c390	addr-match			Code/client/Games/Skyrim/Forms/TESNPC.cpp:18
